Net Asset Value,Repurchase Price,Sale Price,NAV date
14.2886,14.2172,14.2886,30-Jul-14
14.2947,14.2232,14.2947,31-Jul-14
14.2957,14.2242,14.2957,01-Aug-14
14.3052,14.2337,14.3052,04-Aug-14
14.303,14.2315,14.303,05-Aug-14
14.2952,14.2237,14.2952,06-Aug-14
14.2991,14.2276,14.2991,07-Aug-14
14.2996,14.2281,14.2996,08-Aug-14
14.3099,14.2384,14.3099,11-Aug-14
14.3127,14.2411,14.3127,12-Aug-14
14.3218,14.2502,14.3218,13-Aug-14
14.3259,14.2543,14.3259,14-Aug-14
14.3453,14.2736,14.3453,19-Aug-14
14.3517,14.2799,14.3517,20-Aug-14
14.3536,14.2818,14.3536,21-Aug-14
14.3562,14.2844,14.3562,22-Aug-14
14.3654,14.2936,14.3654,25-Aug-14
14.371,14.2991,14.371,26-Aug-14
14.3788,14.3069,14.3788,27-Aug-14
14.3821,14.3102,14.3821,28-Aug-14
14.3993,14.3273,14.3993,01-Sep-14
14.4033,14.3313,14.4033,02-Sep-14
14.4101,14.338,14.4101,03-Sep-14
14.4128,14.3407,14.4128,04-Sep-14
14.4179,14.3458,14.4179,05-Sep-14
14.4307,14.3585,14.4307,08-Sep-14
14.4339,14.3617,14.4339,09-Sep-14
14.4346,14.3624,14.4346,10-Sep-14
14.4378,14.3656,14.4378,11-Sep-14
14.4431,14.3709,14.4431,12-Sep-14
14.4538,14.3815,14.4538,15-Sep-14
14.457,14.3847,14.457,16-Sep-14
14.46,14.3877,14.46,17-Sep-14
14.4654,14.3931,14.4654,18-Sep-14
14.4692,14.3969,14.4692,19-Sep-14
14.4835,14.4111,14.4835,22-Sep-14
14.4877,14.4153,14.4877,23-Sep-14
14.4909,14.4184,14.4909,24-Sep-14
14.4956,14.4231,14.4956,25-Sep-14
14.5058,14.4333,14.5058,26-Sep-14
14.5125,14.4399,14.5125,29-Sep-14
14.5171,14.4445,14.5171,30-Sep-14
14.5202,14.4476,14.5202,01-Oct-14
14.5444,14.4717,14.5444,07-Oct-14
14.5524,14.4796,14.5524,08-Oct-14
14.5543,14.4815,14.5543,09-Oct-14
14.5645,14.4917,14.5645,10-Oct-14
14.5749,14.502,14.5749,13-Oct-14
14.585,14.5121,14.585,14-Oct-14
14.6058,14.5328,14.6058,16-Oct-14
14.6103,14.5372,14.6103,17-Oct-14
14.6239,14.5508,14.6239,20-Oct-14
14.6345,14.5613,14.6345,21-Oct-14
14.6449,14.5717,14.6449,22-Oct-14
14.6655,14.5922,14.6655,27-Oct-14
14.6724,14.599,14.6724,28-Oct-14
14.6759,14.6025,14.6759,29-Oct-14
14.6824,14.609,14.6824,30-Oct-14
14.6951,14.6216,14.6951,31-Oct-14
14.7137,14.6401,14.7137,03-Nov-14
14.7346,14.6609,14.7346,05-Nov-14
14.7432,14.6695,14.7432,07-Nov-14
14.7563,14.6825,14.7563,10-Nov-14
14.7613,14.6875,14.7613,11-Nov-14
14.7645,14.6907,14.7645,12-Nov-14
14.7573,14.6835,14.7573,13-Nov-14
14.7626,14.6888,14.7626,14-Nov-14
14.7775,14.7036,14.7775,17-Nov-14
14.7851,14.7112,14.7851,18-Nov-14
14.7905,14.7165,14.7905,19-Nov-14
14.7929,14.7189,14.7929,20-Nov-14
14.7974,14.7234,14.7974,21-Nov-14
14.8064,14.7324,14.8064,24-Nov-14
14.8131,14.739,14.8131,25-Nov-14
14.8166,14.7425,14.8166,26-Nov-14
14.8203,14.7462,14.8203,27-Nov-14
14.8299,14.7558,14.8299,28-Nov-14
14.8424,14.7682,14.8424,01-Dec-14
14.854,14.7797,14.854,02-Dec-14
14.8572,14.7829,14.8572,03-Dec-14
14.8576,14.7833,14.8576,04-Dec-14
14.8591,14.7848,14.8591,05-Dec-14
14.8699,14.7956,14.8699,08-Dec-14
14.875,14.8006,14.875,09-Dec-14
14.874,14.7996,14.874,10-Dec-14
14.8737,14.7993,14.8737,11-Dec-14
14.877,14.8026,14.877,12-Dec-14
14.8897,14.8153,14.8897,15-Dec-14
14.8707,14.7963,14.8707,16-Dec-14
14.8665,14.7922,14.8665,17-Dec-14
14.8752,14.8008,14.8752,18-Dec-14
14.8746,14.8002,14.8746,19-Dec-14
14.886,14.8116,14.886,22-Dec-14
14.8867,14.8123,14.8867,23-Dec-14
14.8886,14.8142,14.8886,24-Dec-14
14.8956,14.8211,14.8956,26-Dec-14
14.9086,14.8341,14.9086,29-Dec-14
14.9155,14.8409,14.9155,30-Dec-14
14.9217,14.8471,14.9217,31-Dec-14
14.9327,14.858,14.9327,01-Jan-15
14.9334,14.8587,14.9334,02-Jan-15
14.9416,14.8669,14.9416,05-Jan-15
14.9392,14.8645,14.9392,06-Jan-15
