Net Asset Value,Repurchase Price,Sale Price,NAV date
24.8013,24.5533,24.8013,20-Feb-14
24.8245,24.5763,24.8245,21-Feb-14
24.833,24.5847,24.833,24-Feb-14
24.8455,24.597,24.8455,25-Feb-14
24.8381,24.5897,24.8381,26-Feb-14
24.9105,24.6614,24.9105,28-Feb-14
24.8964,24.6474,24.8964,03-Mar-14
24.9154,24.6662,24.9154,04-Mar-14
24.9424,24.693,24.9424,05-Mar-14
24.9932,24.7433,24.9932,06-Mar-14
25.0189,24.7687,25.0189,07-Mar-14
25.0469,24.7964,25.0469,10-Mar-14
25.0455,24.795,25.0455,11-Mar-14
25.0601,24.8095,25.0601,12-Mar-14
25.0428,24.7924,25.0428,13-Mar-14
25.0417,24.7913,25.0417,14-Mar-14
25.0921,24.8412,25.0921,18-Mar-14
25.1242,24.873,25.1242,19-Mar-14
25.1362,24.8848,25.1362,20-Mar-14
25.1777,24.9259,25.1777,21-Mar-14
25.2401,24.9877,25.2401,24-Mar-14
25.2711,25.0184,25.2711,25-Mar-14
25.3051,25.052,25.3051,26-Mar-14
25.3358,25.0824,25.3358,27-Mar-14
25.3804,25.1266,25.3804,28-Mar-14
25.4045,N.A.,N.A.,31-Mar-14
25.4255,25.1712,25.4255,02-Apr-14
25.4016,25.1476,25.4016,03-Apr-14
25.3597,25.1061,25.3597,04-Apr-14
25.383,25.1292,25.383,07-Apr-14
25.4191,25.1649,25.4191,09-Apr-14
25.4418,25.1874,25.4418,10-Apr-14
25.4635,25.2089,25.4635,11-Apr-14
25.4844,25.2296,25.4844,15-Apr-14
25.4746,25.2199,25.4746,16-Apr-14
25.5177,25.2625,25.5177,17-Apr-14
25.5921,25.3362,25.5921,21-Apr-14
25.6111,25.355,25.6111,22-Apr-14
25.6764,25.4196,25.6764,23-Apr-14
25.6641,25.4075,25.6641,25-Apr-14
25.668,25.4113,25.668,28-Apr-14
25.6545,25.398,25.6545,29-Apr-14
25.6501,25.3936,25.6501,30-Apr-14
25.683,25.4262,25.683,02-May-14
25.7079,25.4508,25.7079,05-May-14
25.7244,25.4672,25.7244,06-May-14
25.7314,25.4741,25.7314,07-May-14
25.754,25.4965,25.754,08-May-14
25.8348,25.5765,25.8348,09-May-14
25.8918,25.6329,25.8918,12-May-14
25.9061,25.647,25.9061,13-May-14
25.904,25.645,25.904,15-May-14
25.9604,25.7008,25.9604,16-May-14
26.0434,25.783,26.0434,19-May-14
26.0749,25.8142,26.0749,20-May-14
26.1197,25.8585,26.1197,21-May-14
26.1711,25.9094,26.1711,22-May-14
26.237,25.9746,26.237,23-May-14
26.239,25.9766,26.239,26-May-14
26.2561,25.9935,26.2561,27-May-14
26.2483,25.9858,26.2483,28-May-14
26.2564,25.9938,26.2564,29-May-14
26.2707,26.008,26.2707,30-May-14
26.352,26.0885,26.352,02-Jun-14
26.4741,26.2094,26.4741,03-Jun-14
26.5355,26.2701,26.5355,04-Jun-14
26.5971,26.3311,26.5971,05-Jun-14
26.6835,26.4167,26.6835,06-Jun-14
26.7184,26.4512,26.7184,09-Jun-14
26.7093,26.4422,26.7093,10-Jun-14
26.7096,26.4425,26.7096,11-Jun-14
26.738,26.4706,26.738,12-Jun-14
26.6397,26.3733,26.6397,13-Jun-14
26.5947,26.3288,26.5947,16-Jun-14
26.6645,26.3979,26.6645,17-Jun-14
26.6114,26.3453,26.6114,18-Jun-14
26.5568,26.2912,26.5568,19-Jun-14
26.5127,26.2476,26.5127,20-Jun-14
26.5085,26.2434,26.5085,23-Jun-14
26.5661,26.3004,26.5661,24-Jun-14
26.6109,26.3448,26.6109,25-Jun-14
26.5981,26.3321,26.5981,26-Jun-14
26.5835,26.3177,26.5835,27-Jun-14
26.6392,26.3728,26.6392,30-Jun-14
26.7115,26.4444,26.7115,01-Jul-14
26.8552,26.5866,26.8552,02-Jul-14
26.8976,26.6286,26.8976,03-Jul-14
26.9205,26.6513,26.9205,04-Jul-14
26.9116,26.6425,26.9116,07-Jul-14
26.7861,26.5182,26.7861,08-Jul-14
26.7357,26.4683,26.7357,09-Jul-14
26.7434,26.476,26.7434,10-Jul-14
26.5945,26.3286,26.5945,11-Jul-14
26.5906,26.3247,26.5906,14-Jul-14
26.7086,26.4415,26.7086,15-Jul-14
26.7925,26.5246,26.7925,16-Jul-14
26.8488,26.5803,26.8488,17-Jul-14
26.8259,26.5576,26.8259,18-Jul-14
26.888,26.6191,26.888,21-Jul-14
26.9472,26.6777,26.9472,22-Jul-14
26.9512,26.6817,26.9512,23-Jul-14
26.9689,26.6992,26.9689,24-Jul-14
26.9247,26.6555,26.9247,25-Jul-14
26.9055,26.6364,26.9055,28-Jul-14
26.9263,26.657,26.9263,30-Jul-14
26.9636,26.694,26.9636,31-Jul-14
26.9033,26.6343,26.9033,01-Aug-14
26.9676,26.6979,26.9676,04-Aug-14
26.9054,26.6363,26.9054,05-Aug-14
26.8575,26.5889,26.8575,06-Aug-14
26.8641,26.5955,26.8641,07-Aug-14
26.8039,26.5359,26.8039,08-Aug-14
26.8713,26.6026,26.8713,11-Aug-14
26.889,26.6201,26.889,12-Aug-14
26.9149,26.6458,26.9149,13-Aug-14
26.9923,26.7224,26.9923,14-Aug-14
27.1863,26.9144,27.1863,19-Aug-14
27.2912,27.0183,27.2912,20-Aug-14
27.2962,27.0232,27.2962,21-Aug-14
27.2867,27.0138,27.2867,22-Aug-14
27.2549,26.9824,27.2549,25-Aug-14
27.2827,27.0099,27.2827,26-Aug-14
27.3259,27.0526,27.3259,27-Aug-14
27.3235,27.0503,27.3235,28-Aug-14
27.4389,27.1645,27.4389,01-Sep-14
27.4835,27.2087,27.4835,02-Sep-14
27.5197,27.2445,27.5197,03-Sep-14
27.5096,27.2345,27.5096,04-Sep-14
27.5407,27.2653,27.5407,05-Sep-14
27.584,27.3082,27.584,08-Sep-14
27.6312,27.3549,27.6312,09-Sep-14
27.6241,27.3479,27.6241,10-Sep-14
27.6686,27.3919,27.6686,11-Sep-14
27.7156,27.4384,27.7156,12-Sep-14
27.7035,27.4265,27.7035,15-Sep-14
27.5808,27.305,27.5808,16-Sep-14
27.5928,27.3169,27.5928,17-Sep-14
27.6959,27.4189,27.6959,18-Sep-14
27.6862,27.4093,27.6862,19-Sep-14
27.7207,27.4435,27.7207,22-Sep-14
27.6645,27.3879,27.6645,23-Sep-14
27.6396,27.3632,27.6396,24-Sep-14
27.5991,27.3231,27.5991,25-Sep-14
27.6697,27.393,27.6697,26-Sep-14
27.66,27.3834,27.66,29-Sep-14
27.6505,27.374,27.6505,30-Sep-14
27.6551,27.3785,27.6551,01-Oct-14
27.6476,27.3711,27.6476,07-Oct-14
27.7027,27.4257,27.7027,08-Oct-14
27.7201,27.4429,27.7201,09-Oct-14
27.6876,27.4107,27.6876,10-Oct-14
27.7381,27.4607,27.7381,13-Oct-14
27.7583,27.4807,27.7583,14-Oct-14
27.7391,27.4617,27.7391,16-Oct-14
27.7685,27.4908,27.7685,17-Oct-14
27.8772,27.5984,27.8772,20-Oct-14
27.904,27.625,27.904,21-Oct-14
27.9919,27.712,27.9919,22-Oct-14
28.0725,27.7918,28.0725,27-Oct-14
28.1108,27.8297,28.1108,28-Oct-14
28.1689,27.8872,28.1689,29-Oct-14
28.2342,27.9519,28.2342,30-Oct-14
28.3297,28.0464,28.3297,31-Oct-14
28.3723,28.0886,28.3723,03-Nov-14
28.5068,28.2217,28.5068,05-Nov-14
28.5403,28.2549,28.5403,07-Nov-14
28.5804,28.2946,28.5804,10-Nov-14
28.6165,28.3303,28.6165,11-Nov-14
28.659,28.3724,28.659,12-Nov-14
28.5533,28.2678,28.5533,13-Nov-14
28.5764,28.2906,28.5764,14-Nov-14
28.6769,28.3901,28.6769,17-Nov-14
28.716,28.4288,28.716,18-Nov-14
28.7157,28.4285,28.7157,19-Nov-14
28.7071,28.42,28.7071,20-Nov-14
28.7155,28.4283,28.7155,21-Nov-14
28.746,28.4585,28.746,24-Nov-14
28.7056,28.4185,28.7056,25-Nov-14
28.7203,28.4331,28.7203,26-Nov-14
28.7391,28.4517,28.7391,27-Nov-14
28.8442,28.5558,28.8442,28-Nov-14
28.9006,28.6116,28.9006,01-Dec-14
29.0173,28.7271,29.0173,02-Dec-14
29.0764,28.7856,29.0764,03-Dec-14
29.0819,28.7911,29.0819,04-Dec-14
29.1191,28.8279,29.1191,05-Dec-14
29.126,28.8347,29.126,08-Dec-14
29.1075,28.8164,29.1075,09-Dec-14
29.1335,28.8422,29.1335,10-Dec-14
29.1783,28.8865,29.1783,11-Dec-14
29.2348,28.9425,29.2348,12-Dec-14
29.2588,28.9662,29.2588,15-Dec-14
28.9855,28.6956,28.9855,16-Dec-14
28.9449,28.6555,28.9449,17-Dec-14
29.0986,28.8076,29.0986,18-Dec-14
29.073,28.7823,29.073,19-Dec-14
29.1534,28.8619,29.1534,22-Dec-14
29.1566,28.865,29.1566,23-Dec-14
29.11,28.8189,29.11,24-Dec-14
29.1194,28.8282,29.1194,26-Dec-14
29.2158,28.9236,29.2158,29-Dec-14
29.2793,28.9865,29.2793,30-Dec-14
29.3683,29.0746,29.3683,31-Dec-14
29.3919,29.098,29.3919,01-Jan-15
29.4092,29.1151,29.4092,02-Jan-15
29.4097,29.1156,29.4097,05-Jan-15
29.2932,29.0003,29.2932,06-Jan-15
29.3678,29.0741,29.3678,07-Jan-15
29.4823,29.1875,29.4823,08-Jan-15
29.5007,29.2057,29.5007,09-Jan-15
29.5464,29.2509,29.5464,12-Jan-15
29.6201,29.3239,29.6201,13-Jan-15
29.6248,29.3286,29.6248,14-Jan-15
29.8034,29.5054,29.8034,15-Jan-15
29.8555,29.5569,29.8555,16-Jan-15
29.8556,29.557,29.8556,19-Jan-15
29.9156,29.6164,29.9156,20-Jan-15
29.9745,29.6748,29.9745,21-Jan-15
29.9772,29.6774,29.9772,22-Jan-15
29.9998,29.6998,29.9998,23-Jan-15
30.0614,29.7608,30.0614,27-Jan-15
30.0873,29.7864,30.0873,28-Jan-15
30.1128,29.8117,30.1128,29-Jan-15
30.1098,29.8087,30.1098,30-Jan-15
30.207,29.9049,30.207,02-Feb-15
30.1426,29.8412,30.1426,03-Feb-15
30.0949,29.794,30.0949,04-Feb-15
30.0801,29.7793,30.0801,05-Feb-15
30.0203,29.7201,30.0203,06-Feb-15
29.9591,29.6595,29.9591,09-Feb-15
30.0251,29.7248,30.0251,10-Feb-15
30.0702,29.7695,30.0702,11-Feb-15
30.1049,29.8039,30.1049,12-Feb-15
30.2559,29.9533,30.2559,13-Feb-15
30.2554,29.9528,30.2554,16-Feb-15
30.3005,29.9975,30.3005,18-Feb-15
30.3334,30.0301,30.3334,20-Feb-15
30.2974,29.9944,30.2974,23-Feb-15
30.2608,29.9582,30.2608,24-Feb-15
30.2584,29.9558,30.2584,25-Feb-15
30.1989,29.8969,30.1989,26-Feb-15
30.2707,29.968,30.2707,27-Feb-15
30.366,30.0623,30.366,02-Mar-15
30.3901,30.0862,30.3901,03-Mar-15
30.4624,30.1578,30.4624,04-Mar-15
30.4959,30.1909,30.4959,05-Mar-15
30.3979,30.0939,30.3979,09-Mar-15
30.3467,30.0432,30.3467,10-Mar-15
30.3583,30.0547,30.3583,11-Mar-15
30.4264,30.1221,30.4264,12-Mar-15
30.3002,29.9972,30.3002,13-Mar-15
30.2965,29.9935,30.2965,16-Mar-15
30.3714,30.0677,30.3714,17-Mar-15
30.3654,30.0617,30.3654,18-Mar-15
30.3923,30.0884,30.3923,19-Mar-15
30.3356,30.0322,30.3356,20-Mar-15
30.2992,29.9962,30.2992,23-Mar-15
30.2584,29.9558,30.2584,24-Mar-15
30.234,29.9317,30.234,25-Mar-15
30.1662,29.8645,30.1662,26-Mar-15
30.2232,29.921,30.2232,27-Mar-15
30.349,30.0455,30.349,30-Mar-15
30.441,30.1366,30.441,31-Mar-15
30.6511,30.3446,30.6511,06-Apr-15
30.5675,30.2618,30.5675,07-Apr-15
30.5761,30.2703,30.5761,08-Apr-15
