Net Asset Value,Repurchase Price,Sale Price,NAV date
42.438,42.014,42.438,08-Sep-14
42.296,41.873,42.296,09-Sep-14
42.282,41.859,42.282,10-Sep-14
42.66,42.233,42.66,11-Sep-14
43.097,42.666,43.097,12-Sep-14
43.036,42.606,43.036,15-Sep-14
41.783,41.365,41.783,16-Sep-14
42.047,41.627,42.047,17-Sep-14
42.857,42.428,42.857,18-Sep-14
42.734,42.307,42.734,19-Sep-14
42.769,42.341,42.769,22-Sep-14
41.828,41.41,41.828,23-Sep-14
41.322,40.909,41.322,24-Sep-14
40.492,40.087,40.492,25-Sep-14
40.981,40.571,40.981,26-Sep-14
41.056,40.645,41.056,29-Sep-14
41.152,40.74,41.152,30-Sep-14
41.162,40.75,41.162,01-Oct-14
40.493,40.088,40.493,07-Oct-14
40.518,40.113,40.518,08-Oct-14
41.248,40.836,41.248,09-Oct-14
40.763,40.355,40.763,10-Oct-14
40.947,40.538,40.947,13-Oct-14
40.862,40.453,40.862,14-Oct-14
40.084,39.683,40.084,16-Oct-14
40.202,39.8,40.202,17-Oct-14
40.812,40.404,40.812,20-Oct-14
41.027,40.617,41.027,21-Oct-14
41.487,41.072,41.487,22-Oct-14
41.364,40.95,41.364,27-Oct-14
41.666,41.249,41.666,28-Oct-14
41.901,41.482,41.901,29-Oct-14
42.163,41.741,42.163,30-Oct-14
42.92,42.491,42.92,31-Oct-14
43.021,42.591,43.021,03-Nov-14
43.208,42.776,43.208,05-Nov-14
43.111,42.68,43.111,07-Nov-14
43.078,42.647,43.078,10-Nov-14
43.286,42.853,43.286,11-Nov-14
43.312,42.879,43.312,12-Nov-14
42.93,42.501,42.93,13-Nov-14
43.299,42.866,43.299,14-Nov-14
43.738,43.301,43.738,17-Nov-14
43.837,43.399,43.837,18-Nov-14
43.399,42.965,43.399,19-Nov-14
43.546,43.111,43.546,20-Nov-14
43.877,43.438,43.877,21-Nov-14
44.318,43.875,44.318,24-Nov-14
43.751,43.313,43.751,25-Nov-14
43.972,43.532,43.972,26-Nov-14
44.054,43.613,44.054,27-Nov-14
44.834,44.386,44.834,28-Nov-14
44.672,44.225,44.672,01-Dec-14
44.69,44.243,44.69,02-Dec-14
45.036,44.586,45.036,03-Dec-14
45.495,45.04,45.495,04-Dec-14
45.306,44.853,45.306,05-Dec-14
44.41,43.966,44.41,08-Dec-14
43.655,43.218,43.655,09-Dec-14
44.115,43.674,44.115,10-Dec-14
43.82,43.382,43.82,11-Dec-14
43.498,43.063,43.498,12-Dec-14
43.154,42.722,43.154,15-Dec-14
42.238,41.816,42.238,16-Dec-14
42.185,41.763,42.185,17-Dec-14
43.181,42.749,43.181,18-Dec-14
